"Title","ID","Created Date","Updated Date","Owner","description","header_font","subhead_font"
"Premium","113eab9b-45e5-4641-8da4-7767ae22140e",2025-06-28T22:33:48Z,2025-06-28T22:33:48Z,"6c6e6c88-e553-4c7e-92fc-5fd3ee1fe1fb","Feels exclusive, refined, and high-end — evokes quality and status.","Bodoni","Helvetica"
"Raw","13f83de4-2cf2-4965-918b-c8f6ea385cbc",2025-06-28T22:33:48Z,2025-06-28T22:33:48Z,"6c6e6c88-e553-4c7e-92fc-5fd3ee1fe1fb","Feels real, honest, and unfiltered — embraces imperfection and authenticity.","Franklin Gothic Heavy","Franklin Gothic Book"
"Retro","27d68154-6c61-4f00-9bae-4b70c1be3410",2025-06-28T22:33:48Z,2025-06-28T22:33:48Z,"6c6e6c88-e553-4c7e-92fc-5fd3ee1fe1fb","Feels nostalgic, familiar, and warm — taps into past eras or memories.","Cooper Black","Georgia"
"Editorial","539bd96a-16ee-4a79-87c8-1c0575051258",2025-06-28T22:33:48Z,2025-06-28T22:33:48Z,"6c6e6c88-e553-4c7e-92fc-5fd3ee1fe1fb","Feels sophisticated, thoughtful, and trustworthy — communicates depth and credibility.","Times New Roman Bold","Times New Roman"
"Vibrant","9df34956-8353-4d23-a9ae-6f99087f0491",2025-06-28T22:33:48Z,2025-06-28T22:33:48Z,"6c6e6c88-e553-4c7e-92fc-5fd3ee1fe1fb","Feels energetic, dynamic, and expressive — radiates movement and excitement.","Arial Black","Arial"
"Organic","c48e4bdb-7cf3-432b-a4d8-13b94f12187b",2025-06-28T22:33:48Z,2025-06-28T22:33:48Z,"6c6e6c88-e553-4c7e-92fc-5fd3ee1fe1fb","Feels natural, warm, and human — gives a sense of care and connection.","Garamond Bold","Garamond Regular"
"Tech","d108dbce-91d6-4f5c-82c1-7494997b9c6c",2025-06-28T22:33:48Z,2025-06-28T22:33:48Z,"6c6e6c88-e553-4c7e-92fc-5fd3ee1fe1fb","Feels innovative, efficient, and forward-thinking — suggests progress and modernity.","Futura Bold","Futura Book"
"Bold","dbaa2a4c-4db5-4f42-a52d-c521a7ff1444",2025-06-28T22:33:48Z,2025-06-28T22:33:48Z,"6c6e6c88-e553-4c7e-92fc-5fd3ee1fe1fb","Feels powerful, confident, and assertive — makes a strong statement.","Impact","Arial"
"Minimalist","f335ccf9-e4c2-4f19-a53c-2a1fa47e10a2",2025-06-28T22:33:48Z,2025-06-28T22:33:48Z,"6c6e6c88-e553-4c7e-92fc-5fd3ee1fe1fb","Feels calm, clear, and uncluttered — conveys simplicity and focus.","Helvetica Neue Bold","Helvetica Neue Regular"
"Playful","ff47d415-8180-4a2c-bb7a-8cd734b8b981",2025-06-28T22:33:48Z,2025-06-28T22:33:48Z,"6c6e6c88-e553-4c7e-92fc-5fd3ee1fe1fb","Feels lighthearted, fun, and friendly — invites curiosity and joy.","Comic Sans MS","Arial"
